Kind,Name,Cyclomatic
File,DEVELOPERS-GUIDE.html,0
File,PROPOSAL.html,0
File,bin.xml,0
File,building.xml,0
File,changes.xml,0
File,checkstyle-suppressions.xml,0
File,checkstyle.xml,0
File,compatibility.xml,0
File,download_collections.xml,0
File,findbugs-exclude-filter.xml,0
File,history.xml,0
File,index.xml,0
File,issue-tracking.xml,0
File,mail-lists.xml,0
Public Constructor,org.apache.commons.collections4.AbstractArrayListTest.AbstractArrayListTest,1
Public Abstract Method,org.apache.commons.collections4.AbstractArrayListTest.makeObject,0
Public Method,org.apache.commons.collections4.AbstractArrayListTest.testNewArrayList,2
Public Method,org.apache.commons.collections4.AbstractArrayListTest.testSearch,1
Public Constructor,org.apache.commons.collections4.AbstractLinkedListTest.AbstractLinkedListTest,1
Public Method,org.apache.commons.collections4.AbstractLinkedListTest.getCollection,1
Protected Method,org.apache.commons.collections4.AbstractLinkedListTest.getConfirmedLinkedList,1
Public Method,org.apache.commons.collections4.AbstractLinkedListTest.makeConfirmedCollection,1
Public Method,org.apache.commons.collections4.AbstractLinkedListTest.makeConfirmedFullCollection,1
Public Abstract Method,org.apache.commons.collections4.AbstractLinkedListTest.makeObject,0
Public Method,org.apache.commons.collections4.AbstractLinkedListTest.testLinkedListAddFirst,2
Public Method,org.apache.commons.collections4.AbstractLinkedListTest.testLinkedListAddLast,2
Public Method,org.apache.commons.collections4.AbstractLinkedListTest.testLinkedListGetFirst,2
Public Method,org.apache.commons.collections4.AbstractLinkedListTest.testLinkedListGetLast,2
Public Method,org.apache.commons.collections4.AbstractLinkedListTest.testLinkedListRemoveFirst,3
Public Method,org.apache.commons.collections4.AbstractLinkedListTest.testLinkedListRemoveLast,3
Public Constructor,org.apache.commons.collections4.AbstractObjectTest.AbstractObjectTest,1
Protected Method,org.apache.commons.collections4.AbstractObjectTest.getCanonicalEmptyCollectionName,1
Protected Method,org.apache.commons.collections4.AbstractObjectTest.getCanonicalFullCollectionName,1
Public Method,org.apache.commons.collections4.AbstractObjectTest.getCompatibilityVersion,1
Public Method,org.apache.commons.collections4.AbstractObjectTest.isEqualsCheckable,1
Public Method,org.apache.commons.collections4.AbstractObjectTest.isTestSerialization,1
Public Abstract Method,org.apache.commons.collections4.AbstractObjectTest.makeObject,0
Protected Method,org.apache.commons.collections4.AbstractObjectTest.readExternalFormFromBytes,1
Protected Method,org.apache.commons.collections4.AbstractObjectTest.readExternalFormFromDisk,1
Private Method,org.apache.commons.collections4.AbstractObjectTest.readExternalFormFromStream,1
Protected Method,org.apache.commons.collections4.AbstractObjectTest.serializeDeserialize,1
Protected Method,org.apache.commons.collections4.AbstractObjectTest.skipSerializedCanonicalTests,1
Public Method,org.apache.commons.collections4.AbstractObjectTest.supportsEmptyCollections,1
Public Method,org.apache.commons.collections4.AbstractObjectTest.supportsFullCollections,1
Public Method,org.apache.commons.collections4.AbstractObjectTest.testCanonicalEmptyCollectionExists,3
Public Method,org.apache.commons.collections4.AbstractObjectTest.testCanonicalFullCollectionExists,3
