Kind,Name,Cyclomatic
File,"bin.xml",0
File,"changes.xml",0
File,"checkstyle-suppressions.xml",0
File,"checkstyle.xml",0
File,"code-standards.xml",0
File,"download_net.xml",0
Private Static Method,"examples.Main.fromJar",2
Public Static Method,"examples.Main.main",11
Public Method,"examples.MainTest.checkExamplesPropertiesIsComplete",4
Private Static Method,"examples.MainTest.hasMainMethod",4
Private Static Method,"examples.MainTest.processFileName",3
Private Method,"examples.MainTest.scanClasses",4
Private Static Method,"examples.MainTest.scanForClasses",3
Public Static Method,"examples.cidr.SubnetUtilsExample.main",3
Private Static Method,"examples.ftp.FTPClientExample.createListener",1
Public Method,"examples.ftp.FTPClientExample.createListener.(Anon_1).bytesTransferred",1
Public Method,"examples.ftp.FTPClientExample.createListener.(Anon_1).bytesTransferred",2
Public Static Method,"examples.ftp.FTPClientExample.main",92
Public Static Method,"examples.ftp.ServerToServerFTP.main",22
Private Static Method,"examples.ftp.TFTPExample.close",3
Public Static Method,"examples.ftp.TFTPExample.main",13
Protected Method,"examples.ftp.TFTPExample.main.(Anon_1).trace",1
Private Static Method,"examples.ftp.TFTPExample.open",2
Private Static Method,"examples.ftp.TFTPExample.receive",6
Private Static Method,"examples.ftp.TFTPExample.send",5
Constructor,"examples.mail.IMAPExportMbox.MboxListener.MboxListener",1
Public Method,"examples.mail.IMAPExportMbox.MboxListener.chunkReceived",17
Public Method,"examples.mail.IMAPExportMbox.MboxListener.close",2
Public Static Method,"examples.mail.IMAPExportMbox.main",40
Public Method,"examples.mail.IMAPExportMbox.main.(Anon_1).protocolReplyReceived",2
Private Static Method,"examples.mail.IMAPExportMbox.matches",2
Private Static Method,"examples.mail.IMAPExportMbox.startsWith",1
Private Static Method,"examples.mail.IMAPImportMbox.listContains",3
Public Static Method,"examples.mail.IMAPImportMbox.main",16
Private Static Method,"examples.mail.IMAPImportMbox.process",3
Private Static Method,"examples.mail.IMAPImportMbox.startsWith",1
Private Static Method,"examples.mail.IMAPImportMbox.wanted",1
Public Static Method,"examples.mail.IMAPMail.main",3
Static Method,"examples.mail.IMAPUtils.imapLogin",9
Public Static Method,"examples.mail.POP3Mail.main",15
Public Static Method,"examples.mail.POP3Mail.printMessageInfo",4
Public Static Method,"examples.mail.SMTPMail.main",10
Private Constructor,"examples.mail.Utils.Utils",1
Static Method,"examples.mail.Utils.getPassword",6
Public Static Method,"examples.nntp.ArticleReader.main",11
Public Constructor,"examples.nntp.ExtendedNNTPOps.ExtendedNNTPOps",1
Private Method,"examples.nntp.ExtendedNNTPOps.demo",7
Public Static Method,"examples.nntp.ExtendedNNTPOps.main",4
Public Static Method,"examples.nntp.ListNewsgroups.main",9
Public Constructor,"examples.nntp.MessageThreading.MessageThreading",1
Public Static Method,"examples.nntp.MessageThreading.main",6
Public Static Method,"examples.nntp.NNTPUtils.getArticleInfo",2
Public Static Method,"examples.nntp.PostMessage.main",13
Public Static Method,"examples.ntp.NTPClient.main",5
Public Static Method,"examples.ntp.NTPClient.processResponse",14
Public Constructor,"examples.ntp.SimpleNTPServer.SimpleNTPServer",1
Public Constructor,"examples.ntp.SimpleNTPServer.SimpleNTPServer",2
Public Method,"examples.ntp.SimpleNTPServer.connect",3
Public Method,"examples.ntp.SimpleNTPServer.getPort",1
